STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TAVG,TMAX,TMIN,AWND,WT01,WT06,WT02,WT04,WT08
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160223,0.30,0.0,0.0,-9999,40,35,14.5,1,-9999,-9999,1,1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160224,1.22,0.0,0.0,-9999,60,36,10.5,1,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160225,0.02,0.0,0.0,-9999,61,37,8.9,1,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160226,0.00,0.0,0.0,-9999,39,27,8.7,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160227,0.00,0.0,0.0,-9999,41,26,6.0,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160228,0.00,0.0,0.0,-9999,60,38,7.4,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160229,0.05,0.0,0.0,-9999,61,47,8.5,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160301,0.00,0.0,0.0,-9999,52,39,7.6,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160302,0.14,0.0,0.0,-9999,55,29,10.5,1,-9999,-9999,-9999,1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160303,0.00,0.0,0.0,-9999,36,26,5.8,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160304,0.11,0.0,0.4,-9999,39,30,8.7,1,-9999,-9999,-9999,1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160305,0.00,0.0,0.0,-9999,41,28,4.3,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160306,0.00,0.0,0.0,-9999,44,32,3.4,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160307,0.00,0.0,0.0,-9999,60,36,7.8,-9999,-9999,-9999,-9999,1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160308,0.00,0.0,0.0,-9999,67,47,3.4,-9999,-9999,-9999,-9999,1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160309,0.00,0.0,0.0,-9999,77,44,2.2,-9999,-9999,-9999,-9999,1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160310,0.00,0.0,0.0,-9999,79,63,4.9,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160311,0.06,0.0,0.0,-9999,68,48,6.0,1,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160312,0.00,0.0,0.0,-9999,59,40,5.1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160313,0.00,0.0,0.0,-9999,62,50,3.6,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160314,0.29,0.0,0.0,-9999,51,40,14.1,1,-9999,-9999,-9999,1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160315,0.00,0.0,0.0,-9999,57,44,5.4,1,-9999,-9999,-9999,1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160316,0.02,0.0,0.0,-9999,65,48,3.6,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160317,0.00,0.0,0.0,-9999,63,45,4.9,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160318,0.00,0.0,0.0,-9999,57,42,8.7,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160319,0.00,0.0,0.0,-9999,46,36,5.1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160320,0.07,0.0,0.0,-9999,43,32,9.6,1,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160321,0.06,0.0,0.5,-9999,50,32,8.1,1,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160322,0.00,0.0,0.0,-9999,56,35,6.9,-9999,-9999,-9999,-9999,-9999
